EDV;TREINAMENTO;DATA AUTORIZAÇÃO;DESCRIÇÃO DO TREINAMENTO;QTD COLABORADOR;STATUS;;;
92769669;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
92830129;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
92896144;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
92786187;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92824421;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;24/04/2024;Ponte Rolante;1;ATIVO;;;
92855593;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92888523;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92675966;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
92889749;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/04/2023;Ponte Rolante;1;ATIVO;;;
92860024;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92880244;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;0;;;;
92883545;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;2;INCOMPLETO;;;
92886801;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92902622;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/04/2023;Ponte Rolante;1;ATIVO;;;
92669269;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/05/2024;Ponte Rolante;1;ATIVO;;;
92681744;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;06/10/2022;Ponte Rolante;1;ATIVO;;;
92897280;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92680326;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;0;;;;
92844445;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;09/06/2022;Ponte Rolante;0;;;;
92887754;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;22/05/2023;Ponte Rolante;1;ATIVO;;;
92882538;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
92891976;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;09/02/2024;Ponte Rolante;1;ATIVO;;;
92830101;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;24/04/2024;Ponte Rolante;1;ATIVO;;;
92772021;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/05/2024;Ponte Rolante;1;ATIVO;;;
92828622;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;24/04/2023;Ponte Rolante;1;ATIVO;;;
92686865;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;12/07/2024;Ponte Rolante;1;ATIVO;;;
92681922;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;27/04/2023;Ponte Rolante;1;ATIVO;;;
92811649;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;27/04/2023;Ponte Rolante;1;ATIVO;;;
92880491;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/06/2023;Ponte Rolante;1;ATIVO;;;
92896212;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/04/2023;Ponte Rolante;1;ATIVO;;;
92672736;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92805638;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;14/03/2024;Ponte Rolante;1;ATIVO;;;
92857564;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/03/2023;Ponte Rolante;1;ATIVO;;;
92892620;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/04/2023;Ponte Rolante;1;ATIVO;;;
